Time, Position, Rotation
11:24:54:994,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:24:55:997,(1.778. 0.861. -0.235),(-0.059. 0.661. 0.055. 0.746)
11:24:57:003,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:24:58:008,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:24:59:016,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:00:023,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:02:158,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:03:159,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:05:783,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:07:735,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:08:744,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:09:749,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:10:751,(1.778. 0.861. -0.235),(-0.059. 0.661. 0.055. 0.746)
11:25:11:76,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:12:766,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:13:772,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:14:776,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:15:781,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:16:787,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:17:791,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:18:8,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:19:802,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:20:808,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:21:815,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:22:82,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:23:823,(1.777. 0.861. -0.234),(-0.060. 0.661. 0.055. 0.746)
11:25:24:83,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:25:836,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:26:841,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:27:845,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:28:852,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:29:858,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:30:861,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:31:866,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:32:874,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:33:879,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:34:882,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:35:889,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:36:895,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:37:901,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:38:904,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:39:909,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:40:917,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:41:922,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:42:932,(1.777. 0.860. -0.234),(-0.060. 0.661. 0.055. 0.746)
11:25:43:941,(1.777. 0.860. -0.234),(-0.060. 0.661. 0.055. 0.746)
11:25:44:949,(1.777. 0.860. -0.234),(-0.060. 0.661. 0.055. 0.746)
11:25:45:952,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:46:958,(1.777. 0.860. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:47:965,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:48:971,(1.777. 0.861. -0.235),(-0.059. 0.661. 0.055. 0.746)
11:25:49:975,(1.777. 0.861. -0.235),(-0.059. 0.661. 0.055. 0.746)
11:25:50:979,(1.777. 0.861. -0.235),(-0.059. 0.661. 0.055. 0.746)
11:25:51:983,(1.777. 0.861. -0.235),(-0.059. 0.661. 0.055. 0.746)
11:25:52:992,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:53:994,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:55:002,(1.777. 0.861. -0.235),(-0.059. 0.661. 0.055. 0.746)
11:25:56:009,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:57:017,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:58:016,(1.777. 0.861. -0.234),(-0.059. 0.661. 0.055. 0.746)
11:25:59:021,(1.777. 0.861. -0.235),(-0.060. 0.661. 0.055. 0.746)
