Time, Position, Rotation
11:20:52:996,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:20:54:,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:20:55:007,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:20:56:013,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:20:57:016,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:20:58:022,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:20:59:027,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:00:035,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:01:038,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:02:043,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:03:049,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:04:056,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:05:06,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:06:066,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:07:073,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:08:076,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:09:083,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:10:087,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:11:097,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:12:099,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:13:103,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:14:104,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:15:114,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:16:123,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:17:124,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:18:129,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:19:136,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:20:139,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:21:148,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:22:16,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:23:174,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:24:178,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:25:18,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:26:185,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:27:193,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:28:196,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:29:2,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:30:211,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:31:213,(1.800. 0.861. -0.233),(-0.057. 0.684. 0.057. 0.725)
11:21:32:217,(1.802. 0.861. -0.237),(-0.058. 0.668. 0.054. 0.740)
11:21:33:222,(1.802. 0.861. -0.237),(-0.058. 0.669. 0.056. 0.739)
11:21:34:229,(1.802. 0.861. -0.237),(-0.058. 0.669. 0.056. 0.739)
11:21:35:235,(1.802. 0.861. -0.237),(-0.058. 0.669. 0.056. 0.739)
11:21:36:237,(1.802. 0.861. -0.237),(-0.058. 0.669. 0.056. 0.739)
11:21:37:247,(1.802. 0.861. -0.237),(-0.058. 0.669. 0.056. 0.739)
11:21:38:25,(1.802. 0.861. -0.237),(-0.058. 0.669. 0.056. 0.739)
11:21:39:257,(1.802. 0.861. -0.237),(-0.058. 0.669. 0.056. 0.739)
11:21:40:271,(1.802. 0.861. -0.237),(-0.058. 0.669. 0.056. 0.739)
